schemeCode,schemeName,isinGrowth,isinDivReinvestment
119895,tata fixed income portfolio fund - scheme a2 - direct plan - growth,,
119899,tata fixed income portfolio fund - scheme a3 - direct plan - growth,,
119909,ing midcap fund - direct plan - growth option,,
119912,tata fixed income portfolio fund - scheme b2 - direct plan - growth,,
119914,ing large cap equity fund - direct plan - growth option,,
119916,ing tax savings fund - direct plan - growth option,,
119921,tata fixed income portfolio fund - scheme b3 - direct plan - growth,,
119926,jpmorgan india treasury fund - direct plan - growth option,,
119930,tata fixed income portfolio fund - scheme c2 - direct plan - growth,,
119936,tata fixed income portfolio fund - scheme c3 - direct plan - growth,,
119939,ing treasury advantage fund - institutional plan - direct plan - growth option,,
119944,tata gilt mid term fund - direct plan - growth,,
119947,dhfl pramerica credit opportunities fund - direct plan- growth option,,
119949,tata short term bond fund - direct plan - growth option,INF277K01QR4,
119952,tata floating rate fund - long term plan - direct plan- growth,,
119953,tata gilt securities fund- direct plan - growth option,INF277K01OX7,
119955,tata gilt short maturity fund - direct plan - growth,,
119960,tata equity savings fund- direct plan- growth option,INF277K01QH5,
119966,ing gilt fund- provident fund -dynamic plan - direct plan - growth option,,
119970,ing gilt fund- provident fund -dynamic plan - direct plan - growth auto income payout option,,
119974,ing mip fund - direct plan - growth option,,
119977,tata mip plus fund - direct plan - growth,,
119979,ing balanced fund - direct plan - growth option,,
119981,ing short term income fund - direct plan - growth option,,
119984,bnp paribas corporate bond fund - direct plan - growth option,,
119988,bnp paribas multi cap fund - direct plan - growth option,,
119992,bnp paribas flexi debt fund - direct plan - growth option,,
120002,bnp paribas mid cap fund - direct plan - growth option,,
120016,ing multi manager equity fund - direct plan - option a -  growth  option,,
120019,ing latin america equity fund - direct plan - growth option,,
120022,ing financial planning fund - conservative plan - direct plan - growth option,,
120024,ing financial planning fund - prudent plan - direct plan - growth option,,
120025,ing financial planning fund - aggressive plan - direct plan - growth option,,
120027,ing financial planning fund - cautious plan - direct plan - growth option,,
120030,hsbc large cap fund - direct growth,INF336L01CM7,
120034,hsbc infrastructure equity fund - growth direct,,
120035,hsbc brazil fund - growth direct,INF336L01BY4,
120042,hsbc dynamic asset allocation fund-growth direct,,
120046,hsbc flexi cap fund - direct growth,INF336L01DH5,
120048,hsbc flexi debt fund - growth direct,,
120054,hsbc floating rate fund - long term plan - growth direct,,
120057,hsbc gilt fund - growth direct,,
120059,hsbc medium to long duration fund - direct growth,INF336L01DE2,
120062,hsbc short duration fund - growth direct,,
120069,hsbc small cap equity fund - growth direct,,
120073,hsbc conservative hybrid fund - direct growth,INF336L01DW4,
120077,hsbc - small cap fund - growth direct,,
120079,hsbc tax saver equity fund - growth direct,INF336L01EE0,
120082,bnp paribas conservative hybrid fund - direct plan - growth option,,
120084,pgim india dynamic bond fund - direct plan-growth option,INF663L01AD7,
120088,dhfl pramerica dynamic asset allocation fund - direct plan-growth option,,
120098,dhfl pramerica dynamic monthly income fund - direct plan-growth option,,
120100,dhfl pramerica large cap equity fund - direct plan-growth option,,
120108,dhfl pramerica short term floating rate fund - direct plan - growth option,,
120113,dhfl pramerica short term income fund - direct plan-growth option,,
120119,dhfl pramerica treasury advantage fund - direct plan-growth option,,
120131,bnp paribas short term fund - direct plan - growth option,,
120137,sbi constant maturity 10 year gilt fund - direct plan - growth,INF200K01SK7,
120147,bnp paribas long term equity fund - direct plan - growth option,,
120150,reliance fixed horizon fund - xxii - series 39 - direct plan - growth option,,
120152,kotak large cap  fund - growth - direct,INF174K01KW6,
120154,kotak debt hybrid - growth - direct,INF174K01JZ1,
120158,kotak large & midcap fund - direct- growth,INF174K01LF9,
120160,kotak multi asset allocation fund-growth - direct,,
120164,kotak-small cap fund - growth - direct,INF174K01KT2,
120166,kotak flexicap fund - growth - direct,INF174K01LS2,
120181,idfc ftp series - 7 - direct plan - growth,,
120186,icici prudential us bluechip equity fund - direct plan -  growth,INF109K01Z71,
120208,birla sun life fixed term plan-series gf (539 days)-direct plan-growth,,
120244,icici prudential banking and financial services fund - direct plan -  growth,INF109K013J1,
