schemeCode,schemeName,NAV,scheme_type,scheme_category
Scheme Code,Scheme Name,Net Asset Value,,
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,21.3044,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1505.2502,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),SBI Mutual Fund
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,3417.3533,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),SBI Mutual Fund
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1308.6237,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),SBI Mutual Fund
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1501.9078,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),SBI Mutual Fund
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,3208.0074,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),SBI Mutual Fund
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1463.5811,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),SBI Mutual Fund
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1222.0716,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),SBI Mutual Fund
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1463.2330,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),SBI Mutual Fund
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,11.7065,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,11.4008,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,10.6356,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,11.6319,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,11.6582,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,11.6493,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134359,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,11.1411,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134361,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,11.1681,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134362,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,11.0236,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
134360,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,10.1418,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
119629,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,21.8981,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
119627,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.2300,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,45.0177,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
119626,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),11.2072,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
118326,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,21.7644,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Sundaram Mutual Fund
